Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,2024-06-08,19:00,Monterey Bay,0–2,Sac Republic,"3,309",Cardinale Stadium,Matthew Thompson,Match Report,
16,Sat,2024-06-08,19:30,Memphis,1–1,CS Switchbacks,"3,090",AutoZone Park,Eric Tattersall,Match Report,
16,Sat,2024-06-08,19:30,FC Tulsa,2–1,San Antonio,"5,073",ONEOK Field,Brandon Stevis,Match Report,
16,Sat,2024-06-08,19:30,LV Lights FC,3–1,Miami FC,"1,748",Cashman Field,Lorenzo Hernandez,Match Report,
16,Sat,2024-06-08,20:00,Phx Rising,2–1,Orange County,"5,032",Wild Horse Pass Stadium,Ricardo Montero,Match Report,
16,Sat,2024-06-08,20:00,Louisville City,2–1,North Carolina,"9,733",Lynn Family Stadium,Abdou Ndiaye,Match Report,
16,Wed,2024-06-12,19:00,Memphis,2–2,Rhode Island FC,"2,188",AutoZone Park,Mathew Corrigan,Match Report,
,,,,,,,,,,,
17,Fri,2024-06-14,19:00,Loudoun Utd,1–1,LV Lights FC,"3,580",Segra Field,Nabil Bensalah,Match Report,
17,Sat,2024-06-15,16:00,Detroit City,2–0,Charleston,"7,172",Keyworth Stadium,Brandon Stevis,Match Report,
17,Sat,2024-06-15,19:00,Indy Eleven,1–0,San Antonio,"10,491",Michael A. Carroll Stadium,Adam Kilpatrick,Match Report,
17,Sat,2024-06-15,19:00,Hartford,2–0,Pittsburgh,"4,747",Trinity Health Stadium,Joshua Encarnacion,Match Report,
17,Sat,2024-06-15,19:30,TB Rowdies,3–2,Louisville City,"5,393",Al Lang Stadium,Ricardo Fierro,Match Report,
17,Sun,2024-06-16,18:00,North Carolina,2–0,Monterey Bay,"2,047",Sahlen's Stadium at WakeMed Soccer Park,Esad Omanovic,Match Report,
17,Sat,2024-06-15,19:00,CS Switchbacks,4–2,Orange County,"8,023",Weidner Field,Brad Jensen,Match Report,
17,Sat,2024-06-15,19:30,Memphis,2–1,New Mexico Utd,"3,196",AutoZone Park,Elton Garcia,Match Report,
17,Sat,2024-06-15,20:00,El Paso,1–1,Phx Rising,"5,802",Southwest University Park,Elijio Arreguin,Match Report,
17,Sat,2024-06-15,20:00,Sac Republic,2–3,Roots,"10,843",Heart Health Park,Sergii Demianchuk,Match Report,
17,Tue,2024-06-18,19:30,LV Lights FC,3–3,CS Switchbacks,"1,339",Cashman Field,Elijio Arreguin,Match Report,
17,Wed,2024-06-19,19:30,Pittsburgh,0–1,Louisville City,"5,084",Highmark Stadium,Matthew Thompson,Match Report,
17,Wed,2024-06-19,19:00,B'ham Legion,3–0,San Antonio,"1,996",Protective Stadium,Elvis Osmanovic,Match Report,
17,Wed,2024-06-19,19:00,Roots,2–1,El Paso,"3,247",Pioneer Stadium,Trevor Wiseman,Match Report,
17,Wed,2024-06-19,19:30,FC Tulsa,2–1,Miami FC,"3,009",ONEOK Field,Christopher Calderón,Match Report,
,,,,,,,,,,,
18,Fri,2024-06-21,19:30,Hartford,0–1,TB Rowdies,"5,500",Trinity Health Stadium,Greg Dopka,Match Report,
18,Sat,2024-06-22,15:00,Monterey Bay,2–1,Roots,"4,330",Cardinale Stadium,Ricardo Montero,Match Report,
18,Sat,2024-06-22,19:00,Indy Eleven,0–1,Orange County,"9,490",Michael A. Carroll Stadium,Joe Surgan,Match Report,
18,Sat,2024-06-22,19:00,Miami FC,2–2,Loudoun Utd,846,Riccardo Silva Stadium,Eric Tattersall,Match Report,
18,Sat,2024-06-22,19:30,North Carolina,0–0,Pittsburgh,"1,996",Sahlen's Stadium at WakeMed Soccer Park,Muhammad Hassan,Match Report,
18,Sat,2024-06-22,19:00,New Mexico Utd,1–0,CS Switchbacks,"10,176",Isotopes Park,Corbyn May,Match Report,
18,Sat,2024-06-22,19:30,FC Tulsa,0–0,Sac Republic,"3,433",ONEOK Field,John Matto,Match Report,
